model,expid,variable,value
DB1,3,c2,0.622727272727273
DB6,3,c2,0.602272727272727
VS,3,c2,0.661363636363636
MB,4,c2,0.810526315789474
DB1,4,c2,0.786842105263158
DB6,4,c2,0.773684210526316
VS,4,c2,0.810526315789474
MB,5,c2,0.789583333333333
DB1,5,c2,0.841666666666667
DB6,5,c2,0.783333333333333
VS,5,c2,0.84375
MB,6,c2,0.694
DB1,6,c2,0.672
DB6,6,c2,0.678
VS,6,c2,0.712
MB,7,c2,0.719565217391304
DB1,7,c2,0.671739130434783
DB6,7,c2,0.706521739130435
VS,7,c2,0.760869565217391
MB,8,c2,0.630952380952381
DB1,8,c2,0.704761904761905
DB6,8,c2,0.671428571428571
VS,8,c2,0.664285714285714
MB,9,c2,0.704166666666667
DB1,9,c2,0.729166666666667
DB6,9,c2,0.70625
VS,9,c2,0.71875
MB,10,c2,0.721153846153846
DB1,10,c2,0.665384615384615
DB6,10,c2,0.655769230769231
VS,10,c2,0.834615384615385
MB,11,c2,0.611904761904762
DB1,11,c2,0.626190476190476
DB6,11,c2,0.583333333333333
VS,11,c2,0.583333333333333
MB,12,c2,0.577777777777778
DB1,12,c2,0.518518518518518
DB6,12,c2,0.538888888888889
VS,12,c2,0.616666666666667
MB,13,c2,0.7
DB1,13,c2,0.697727272727273
DB6,13,c2,0.713636363636364
VS,13,c2,0.761363636363636
MB,14,c2,0.617391304347826
DB1,14,c2,0.580434782608696
DB6,14,c2,0.643478260869565
VS,14,c2,0.643478260869565
MB,15,c2,0.773913043478261
DB1,15,c2,0.793478260869565
DB6,15,c2,0.769565217391304
VS,15,c2,0.795652173913043
MB,16,c2,0.81875
DB1,16,c2,0.76875
DB6,16,c2,0.720833333333333
VS,16,c2,0.83125
MB,17,c2,0.620833333333333
DB1,17,c2,0.6
DB6,17,c2,0.595833333333333
VS,17,c2,0.627083333333333
MB,18,c2,0.690909090909091
DB1,18,c2,0.659090909090909
DB6,18,c2,0.681818181818182
VS,18,c2,0.690909090909091
MB,19,c2,0.733333333333333
DB1,19,c2,0.675
DB6,19,c2,0.716666666666667
VS,19,c2,0.733333333333333
MB,20,c2,0.730769230769231
DB1,20,c2,0.671153846153846
DB6,20,c2,0.690384615384615
VS,20,c2,0.692307692307692
MB,21,c2,0.702083333333333
DB1,21,c2,0.658333333333333
DB6,21,c2,0.614583333333333
VS,21,c2,0.704166666666667
MB,22,c2,0.702083333333333
DB1,22,c2,0.647916666666667
DB6,22,c2,0.704166666666667
VS,22,c2,0.716666666666667
MB,23,c2,0.72
DB1,23,c2,0.746
DB6,23,c2,0.716
VS,23,c2,0.826
MB,24,c2,0.780952380952381
DB1,24,c2,0.683333333333333
DB6,24,c2,0.733333333333333
VS,24,c2,0.783333333333333
MB,25,c2,0.534615384615385
DB1,25,c2,0.534615384615385
DB6,25,c2,0.559615384615385
VS,25,c2,0.555769230769231
MB,26,c2,0.528571428571429
DB1,26,c2,0.554761904761905
DB6,26,c2,0.545238095238095
VS,26,c2,0.547619047619048
