model,expid,variable,value
DB1,67,c1,0.575675675675676
DB6,67,c1,0.558108108108108
VS,67,c1,0.574324324324324
MB,69,c1,0.56
DB1,69,c1,0.622857142857143
DB6,69,c1,0.625714285714286
VS,69,c1,0.634285714285714
data,15,c2,0.588235294117647
data,19,c2,0.428571428571429
data,30,c2,0.583333333333333
data,33,c2,0.516129032258065
data,35,c2,0.684210526315789
data,40,c2,0.735294117647059
data,42,c2,0.444444444444444
data,46,c2,0.636363636363636
data,48,c2,0.823529411764706
data,50,c2,0.605263157894737
data,51,c2,0.7
data,52,c2,0.636363636363636
data,53,c2,0.692307692307692
data,54,c2,0.675
data,55,c2,0.647058823529412
data,56,c2,0.648648648648649
data,60,c2,0.609756097560976
data,61,c2,0.483870967741935
data,65,c2,0.555555555555556
data,66,c2,0.470588235294118
data,67,c2,0.486486486486487
data,69,c2,0.657142857142857
MB,15,c2,0.625
DB1,15,c2,0.583823529411765
DB6,15,c2,0.558823529411765
VS,15,c2,0.622058823529412
MB,19,c2,0.544285714285714
DB1,19,c2,0.51
DB6,19,c2,0.541428571428571
VS,19,c2,0.545714285714286
MB,30,c2,0.604166666666667
DB1,30,c2,0.573611111111111
DB6,30,c2,0.583333333333333
VS,30,c2,0.6125
MB,33,c2,0.653225806451613
DB1,33,c2,0.640322580645161
DB6,33,c2,0.662903225806452
VS,33,c2,0.651612903225806
MB,35,c2,0.605263157894737
DB1,35,c2,0.606578947368421
DB6,35,c2,0.556578947368421
VS,35,c2,0.611842105263158
MB,40,c2,0.538235294117647
DB1,40,c2,0.516176470588235
DB6,40,c2,0.488235294117647
VS,40,c2,0.591176470588235
MB,42,c2,0.529166666666667
DB1,42,c2,0.581944444444444
DB6,42,c2,0.555555555555556
VS,42,c2,0.576388888888889
MB,46,c2,0.540909090909091
DB1,46,c2,0.577272727272727
DB6,46,c2,0.53030303030303
VS,46,c2,0.55
MB,48,c2,0.760294117647059
DB1,48,c2,0.697058823529412
DB6,48,c2,0.701470588235294
VS,48,c2,0.789705882352941
MB,50,c2,0.577631578947368
DB1,50,c2,0.607894736842105
DB6,50,c2,0.634210526315789
VS,50,c2,0.698684210526316
MB,51,c2,0.668333333333333
DB1,51,c2,0.666666666666667
DB6,51,c2,0.643333333333333
VS,51,c2,0.693333333333333
MB,52,c2,0.704545454545455
DB1,52,c2,0.590909090909091
DB6,52,c2,0.662121212121212
VS,52,c2,0.684848484848485
MB,53,c2,0.620512820512821
DB1,53,c2,0.569230769230769
DB6,53,c2,0.553846153846154
VS,53,c2,0.628205128205128
MB,54,c2,0.61875
DB1,54,c2,0.59375
DB6,54,c2,0.60375
VS,54,c2,0.665
MB,55,c2,0.622058823529412
DB1,55,c2,0.585294117647059
DB6,55,c2,0.575
VS,55,c2,0.598529411764706
MB,56,c2,0.578378378378378
DB1,56,c2,0.536486486486486
DB6,56,c2,0.552702702702703
VS,56,c2,0.597297297297297
MB,60,c2,0.626829268292683
DB1,60,c2,0.632926829268293
DB6,60,c2,0.559756097560976
VS,60,c2,0.674390243902439
MB,61,c2,0.517741935483871
DB1,61,c2,0.558064516129032
DB6,61,c2,0.491935483870968
VS,61,c2,0.537096774193548
MB,65,c2,0.641666666666667
DB1,65,c2,0.588888888888889
DB6,65,c2,0.609722222222222
VS,65,c2,0.597222222222222
MB,66,c2,0.508823529411765
DB1,66,c2,0.547058823529412
DB6,66,c2,0.525
VS,66,c2,0.545588235294118
MB,67,c2,0.556756756756757
DB1,67,c2,0.554054054054054
DB6,67,c2,0.548648648648649
VS,67,c2,0.555405405405405
MB,69,c2,0.562857142857143
DB1,69,c2,0.598571428571429
DB6,69,c2,0.551428571428571
VS,69,c2,0.6
