model,expid,variable,value
MB,22,d1,0.723684210526316
DB1,22,d1,0.673684210526316
DB6,22,d1,0.7
VS,22,d1,0.723684210526316
MB,23,d1,0.633333333333333
DB1,23,d1,0.708333333333333
DB6,23,d1,0.780555555555556
VS,23,d1,0.772222222222222
MB,24,d1,0.713157894736842
DB1,24,d1,0.694736842105263
DB6,24,d1,0.757894736842105
VS,24,d1,0.757894736842105
MB,25,d1,0.5
DB1,25,d1,0.564705882352941
DB6,25,d1,0.514705882352941
VS,25,d1,0.555882352941176
MB,26,d1,0.5375
DB1,26,d1,0.54
DB6,26,d1,0.5525
VS,26,d1,0.535
data,3,d2,0.352941176470588
data,4,d2,0.631578947368421
data,5,d2,0.789473684210526
data,6,d2,0.8
data,7,d2,0.736842105263158
data,8,d2,0.470588235294118
data,9,d2,0.761904761904762
data,10,d2,0.666666666666667
data,11,d2,0.842105263157895
data,12,d2,0.789473684210526
data,13,d2,0.894736842105263
data,14,d2,0.894736842105263
data,15,d2,0.631578947368421
data,16,d2,0.545454545454545
data,17,d2,0.666666666666667
data,18,d2,0.705882352941177
data,19,d2,0.75
data,20,d2,0.761904761904762
data,21,d2,0.739130434782609
data,22,d2,0.631578947368421
data,23,d2,0.777777777777778
data,24,d2,0.789473684210526
data,25,d2,0.470588235294118
data,26,d2,0.5
MB,3,d2,0.497058823529412
DB1,3,d2,0.55
DB6,3,d2,0.55
VS,3,d2,0.608823529411765
MB,4,d2,0.7
DB1,4,d2,0.668421052631579
DB6,4,d2,0.694736842105263
VS,4,d2,0.713157894736842
MB,5,d2,0.744736842105263
DB1,5,d2,0.760526315789474
DB6,5,d2,0.784210526315789
VS,5,d2,0.739473684210526
MB,6,d2,0.735
DB1,6,d2,0.72
DB6,6,d2,0.71
VS,6,d2,0.7675
MB,7,d2,0.755263157894737
DB1,7,d2,0.686842105263158
DB6,7,d2,0.786842105263158
VS,7,d2,0.778947368421053
MB,8,d2,0.579411764705882
DB1,8,d2,0.564705882352941
DB6,8,d2,0.585294117647059
VS,8,d2,0.538235294117647
MB,9,d2,0.692857142857143
DB1,9,d2,0.733333333333333
DB6,9,d2,0.730952380952381
VS,9,d2,0.728571428571429
MB,10,d2,0.591666666666667
DB1,10,d2,0.6
