exp,group.visDemRaven,group,criterion,model,param,id,param_estimate
exp3,visible,skilled,lpp,VS,alpha_i,616,0.292342757670274
exp3,visible,unskilled,lpp,VS,alpha_i,617,0.009996944083678
exp3,visible,skilled,lpp,VS,alpha_i,618,0.168304122781016
exp3,visible,unskilled,lpp,VS,alpha_i,619,0.111501837023224
exp3,visible,skilled,lpp,VS,alpha_i,620,0.268963762112861
exp3,visible,unskilled,lpp,VS,alpha_i,701,0.386917711679351
exp3,visible,skilled,lpp,VS,alpha_i,702,0.905412679160396
exp3,visible,unskilled,lpp,VS,alpha_i,703,0.302106428456173
exp3,visible,skilled,lpp,VS,alpha_i,704,0.222791826179185
exp3,visible,unskilled,lpp,VS,alpha_i,705,0.232663378430793
exp3,visible,skilled,lpp,VS,alpha_i,706,0.225547134215765
exp3,visible,unskilled,lpp,VS,alpha_i,707,0.226230523793038
exp3,visible,skilled,lpp,VS,alpha_i,708,0.237452811897244
exp3,visible,unskilled,lpp,VS,alpha_i,709,0.034175499231854
exp3,visible,skilled,lpp,VS,alpha_i,710,0.155562372997276
exp3,visible,skilled,lpp,VS,alpha_i,712,0.345943971961378
exp3,visible,unskilled,lpp,VS,alpha_i,801,0.309923538809991
exp3,visible,skilled,lpp,VS,alpha_i,802,0.134679921538454
exp3,visible,unskilled,lpp,VS,alpha_i,803,0.014801028310859
exp3,visible,skilled,lpp,VS,alpha_i,804,0.264725976874594
exp3,visible,unskilled,lpp,VS,alpha_i,805,0.050486276194604
exp3,visible,skilled,lpp,VS,alpha_i,806,0.279671158545695
exp3,visible,skilled,lpp,VS,alpha_i,808,0.95836043250126
exp3,visible,unskilled,lpp,VS,alpha_i,809,0.101173577604846
exp3,visible,skilled,lpp,VS,alpha_i,810,0.260143033249041
exp3,visible,unskilled,lpp,VS,alpha_i,811,0.068284133845746
exp3,visible,skilled,lpp,VS,alpha_i,812,0.468488963055283
exp3,visible,unskilled,lpp,VS,alpha_i,813,0.244996610857698
exp3,visible,skilled,lpp,VS,alpha_i,814,0.27606638459066
exp3,visible,unskilled,lpp,VS,alpha_i,815,0.088388847654109
exp3,visible,skilled,lpp,VS,alpha_i,816,0.133000274791514
exp3,visible,unskilled,lpp,VS,alpha_i,817,0.190128523600959
exp3,visible,skilled,lpp,VS,alpha_i,818,0.116592348982554
exp3,visible,unskilled,lpp,VS,alpha_i,901,0.278509354826493
exp3,visible,skilled,lpp,VS,alpha_i,902,0.06779255863749
exp3,visible,unskilled,lpp,VS,alpha_i,903,0.010076495122262
exp3,visible,skilled,lpp,VS,alpha_i,904,0.512061898229307
exp3,visible,unskilled,lpp,VS,alpha_i,905,0.053359097477548
exp3,visible,skilled,lpp,VS,alpha_i,906,0.237823266384495
exp3,visible,unskilled,lpp,VS,alpha_i,907,0.137791634286318
exp3,visible,skilled,lpp,VS,alpha_i,908,0.382258922460501
exp3,visible,unskilled,lpp,VS,alpha_i,909,0.065055373446168
exp3,visible,skilled,lpp,VS,alpha_i,910,0.095103980206834
exp3,visible,unskilled,lpp,VS,alpha_i,911,0.254266680017503
exp3,visible,skilled,lpp,VS,alpha_i,912,0.184789171112681
exp3,visible,unskilled,lpp,VS,alpha_i,913,0.302672184921919
exp3,visible,skilled,lpp,VS,alpha_i,914,0.006698541093264
exp3,visible,unskilled,lpp,VS,alpha_i,915,0.298092416488724
exp3,visible,skilled,lpp,VS,alpha_i,916,0.560940033154076
exp3,visible,unskilled,lpp,VS,alpha_i,917,0.120588490283298
exp3,visible,skilled,lpp,VS,alpha_i,918,0.121798777167756
exp3,visible,unskilled,lpp,VS,alpha_i,919,0.603249646748011
exp3,visible,skilled,lpp,VS,alpha_i,920,0.208857916714056
exp3,visible,unskilled,lpp,VS,alpha_i,1201,0.054693458400464
exp3,visible,skilled,lpp,VS,alpha_i,1202,0.427019017188146
exp3,visible,unskilled,lpp,VS,alpha_i,1203,0.239406589910986
exp3,visible,skilled,lpp,VS,alpha_i,1204,0.124977301075183
exp3,visible,unskilled,lpp,VS,alpha_i,1301,0.094067206502799
exp3,visible,skilled,lpp,VS,alpha_i,1302,0.283819565133902
exp3,visible,unskilled,lpp,VS,alpha_i,1303,0.011302269645224
exp3,visible,skilled,lpp,VS,alpha_i,1304,0.008419089326016
exp3,visible,unskilled,lpp,VS,alpha_i,1305,0.302107006253772
exp3,visible,skilled,lpp,VS,alpha_i,1306,0.590915042313117
exp3,visible,unskilled,lpp,VS,alpha_i,1307,0.104964880697805
exp3,visible,skilled,lpp,VS,alpha_i,1308,0.17013624285341
exp3,visible,unskilled,lpp,VS,alpha_i,1309,0.071898813745476
exp3,visible,skilled,lpp,VS,alpha_i,1310,0.012998420436892
exp3,visible,unskilled,lpp,VS,alpha_i,1311,0.14893839493016
exp3,visible,skilled,lpp,VS,alpha_i,1312,0.127517173681505
exp3,visible,unskilled,lpp,VS,alpha_i,1313,0.152675683549152
exp3,visible,skilled,lpp,VS,alpha_i,1314,0.089659568487873
exp3,visible,skilled,lpp,VS,alpha_i,10101,0.204198383453147
exp3,visible,unskilled,lpp,VS,alpha_i,10102,0.165071548890602
exp3,visible,skilled,lpp,VS,alpha_i,10103,0.302649844381919
exp3,visible,unskilled,lpp,VS,alpha_i,10104,0.078688638117001
exp3,visible,skilled,lpp,VS,alpha_i,10105,0.621626877418624
exp3,visible,unskilled,lpp,VS,alpha_i,10106,0.118786175042681
exp3,visible,skilled,lpp,VS,alpha_i,10107,0.402436957815826
exp3,visible,unskilled,lpp,VS,alpha_i,10108,0.201661679464372
exp3,visible,unskilled,lpp,VS,alpha_i,10110,0.046762271794531
exp3,visible,skilled,lpp,VS,alpha_i,10111,0.089595346669617
exp3,visible,unskilled,lpp,VS,alpha_i,10112,0.112541853392133
exp3,visible,skilled,lpp,VS,alpha_i,10113,0.772442351198116
exp3,visible,unskilled,lpp,VS,alpha_i,10114,0.184365400840736
exp3,visible,skilled,lpp,VS,alpha_i,10115,0.025609252142227
exp3,visible,unskilled,lpp,VS,alpha_i,10116,0.170918201062741
exp3,visible,skilled,lpp,VS,alpha_i,10201,0.170320024358471
exp3,visible,unskilled,lpp,VS,alpha_i,10202,0.04784769111004
exp3,visible,skilled,lpp,VS,alpha_i,10203,0.032976190920995
exp3,visible,unskilled,lpp,VS,alpha_i,10204,0.702041377153382
exp3,visible,skilled,lpp,VS,alpha_i,10205,0.344045551535491
exp3,visible,unskilled,lpp,VS,alpha_i,10206,0.010470725170354
exp3,visible,skilled,lpp,VS,alpha_i,10207,0.12272991070801
exp3,visible,unskilled,lpp,VS,alpha_i,10208,0.119809284851047
exp3,visible,unskilled,lpp,VS,alpha_i,10210,0.128826935995013
exp3,visible,skilled,lpp,VS,alpha_i,10211,0.234909236228927
exp3,visible,unskilled,lpp,VS,alpha_i,10212,0.060748063479056
exp3,visible,unskilled,lpp,VS,alpha_i,10214,0.088596986620171
exp3,visible,skilled,lpp,VS,alpha_i,10215,0.116150184989037
exp3,visible,unskilled,lpp,VS,alpha_i,10216,0.175392722250729
exp3,visible,skilled,lpp,VS,alpha_i,10217,0.049906515206831
exp3,visible,unskilled,lpp,VS,alpha_i,10218,0.222691335074319
exp3,visible,skilled,lpp,VS,alpha_i,10219,0.447577895213075
exp3,visible,unskilled,lpp,VS,alpha_i,10220,0.041453836233382
exp3,visible,skilled,lpp,VS,alpha_i,10221,0.104215884167458
exp3,visible,unskilled,lpp,VS,alpha_i,10222,0.238654369906554
exp3,visible,skilled,lpp,VS,alpha_i,10301,0.293278861469837
exp3,visible,unskilled,lpp,VS,alpha_i,10302,0.039271330536827
exp3,visible,skilled,lpp,VS,alpha_i,10303,0.136242917250324
exp3,visible,unskilled,lpp,VS,alpha_i,10304,0.198717665236388
exp3,visible,skilled,lpp,VS,alpha_i,10305,0.237654515967769
exp3,visible,unskilled,lpp,VS,alpha_i,10306,0.256152387230566
exp3,visible,skilled,lpp,VS,alpha_i,10307,0.30359232484429
exp3,visible,unskilled,lpp,VS,alpha_i,10308,0.129528192927895
exp3,visible,skilled,lpp,VS,alpha_i,10309,0.015250999510508
exp3,visible,unskilled,lpp,VS,alpha_i,10310,0.332744409159044
exp3,visible,skilled,lpp,VS,alpha_i,10311,0.317243414511206
exp3,visible,unskilled,lpp,VS,alpha_i,10312,0.086288039767565
exp3,visible,skilled,lpp,VS,alpha_i,10313,0.382887186171443
